"time","y1","y2"
0.525,0.267829,0.54257
0.526,0.268499,0.543965
0.527,0.269168,0.545358
0.528,0.269836,0.54675
0.529,0.270503,0.54814
0.53,0.27117,0.549528
0.531,0.271835,0.550915
0.532,0.272499,0.552299
0.533,0.273163,0.553683
0.534,0.273825,0.555064
0.535,0.274486,0.556444
0.536,0.275147,0.557822
0.537,0.275807,0.559199
0.538,0.276465,0.560574
0.539,0.277123,0.561947
0.54,0.27778,0.563318
0.541,0.278435,0.564688
0.542,0.27909,0.566056
0.543,0.279744,0.567423
0.544,0.280397,0.568788
0.545,0.281049,0.570151
0.546,0.2817,0.571513
0.547,0.28235,0.572872
0.548,0.282999,0.574231
0.549,0.283647,0.575587
0.55,0.284295,0.576942
0.551,0.284941,0.578296
0.552,0.285586,0.579647
0.553,0.286231,0.580997
0.554,0.286874,0.582346
0.555,0.287517,0.583692
0.556,0.288158,0.585038
0.557,0.288799,0.586381
0.558,0.289439,0.587723
0.559,0.290078,0.589063
0.56,0.290716,0.590402
0.561,0.291353,0.591739
0.562,0.291989,0.593074
0.563,0.292624,0.594408
0.564,0.293258,0.59574
0.565,0.293891,0.59707
0.566,0.294524,0.598399
0.567,0.295155,0.599726
0.568,0.295785,0.601052
0.569,0.296415,0.602376
0.57,0.297044,0.603698
0.571,0.297671,0.605019
0.572,0.298298,0.606338
0.573,0.298924,0.607655
0.574,0.299549,0.608971
0.575,0.300173,0.610285
0.576,0.300796,0.611598
0.577,0.301418,0.612909
0.578,0.302039,0.614218
0.579,0.30266,0.615526
0.58,0.303279,0.616832
0.581,0.303898,0.618137
0.582,0.304515,0.61944
0.583,0.305132,0.620741
0.584,0.305748,0.622041
0.585,0.306363,0.623339
0.586,0.306977,0.624636
0.587,0.30759,0.625931
0.588,0.308202,0.627225
0.589,0.308813,0.628516
0.59,0.309423,0.629807
0.591,0.310033,0.631095
0.592,0.310641,0.632383
0.593,0.311249,0.633668
0.594,0.311856,0.634952
0.595,0.312461,0.636234
0.596,0.313066,0.637515
0.597,0.31367,0.638794
0.598,0.314273,0.640072
0.599,0.314876,0.641348
0.6,0.315477,0.642623
0.601,0.316077,0.643896
0.602,0.316677,0.645167
0.603,0.317276,0.646437
0.604,0.317873,0.647705
0.605,0.31847,0.648972
0.606,0.319066,0.650237
0.607,0.319661,0.6515
0.608,0.320255,0.652762
0.609,0.320848,0.654023
0.61,0.321441,0.655281
0.611,0.322032,0.656539
0.612,0.322623,0.657794
0.613,0.323213,0.659049
0.614,0.323801,0.660301
0.615,0.324389,0.661552
0.616,0.324976,0.662802
0.617,0.325563,0.66405
0.618,0.326148,0.665296
0.619,0.326732,0.666541
0.62,0.327316,0.667785
0.621,0.327898,0.669027
0.622,0.32848,0.670267
0.623,0.329061,0.671506
0.624,0.329641,0.672743
0.625,0.33022,0.673979
0.626,0.330799,0.675213
0.627,0.331376,0.676446
0.628,0.331953,0.677677
0.629,0.332528,0.678906
0.63,0.333103,0.680134
0.631,0.333677,0.681361
0.632,0.33425,0.682586
0.633,0.334822,0.683809
0.634,0.335393,0.685031
0.635,0.335964,0.686252
0.636,0.336533,0.687471
0.637,0.337102,0.688688
0.638,0.33767,0.689904
0.639,0.338237,0.691119
0.64,0.338803,0.692331
0.641,0.339368,0.693543
0.642,0.339933,0.694753
0.643,0.340496,0.695961
0.644,0.341059,0.697168
0.645,0.341621,0.698373
0.646,0.342182,0.699577
0.647,0.342742,0.70078
0.648,0.343301,0.701981
0.649,0.343859,0.70318
0.65,0.344417,0.704378
0.651,0.344974,0.705574
0.652,0.345529,0.706769
0.653,0.346084,0.707963
0.654,0.346639,0.709155
0.655,0.347192,0.710345
0.656,0.347744,0.711534
0.657,0.348296,0.712721
0.658,0.348847,0.713907
0.659,0.349397,0.715092
0.66,0.349946,0.716275
0.661,0.350494,0.717457
0.662,0.351041,0.718637
0.663,0.351588,0.719815
0.664,0.352133,0.720992
0.665,0.352678,0.722168
0.666,0.353222,0.723342
0.667,0.353765,0.724515
0.668,0.354308,0.725686
0.669,0.354849,0.726856
0.67,0.35539,0.728025
0.671,0.35593,0.729191
0.672,0.356469,0.730357
0.673,0.357007,0.731521
0.674,0.357544,0.732683
0.675,0.358081,0.733844
0.676,0.358617,0.735004
0.677,0.359151,0.736162
0.678,0.359685,0.737319
0.679,0.360219,0.738474
0.68,0.360751,0.739628
0.681,0.361283,0.74078
0.682,0.361813,0.741931
0.683,0.362343,0.743081
0.684,0.362872,0.744229
0.685,0.363401,0.745375
0.686,0.363928,0.746521
0.687,0.364455,0.747664
0.688,0.36498,0.748807
0.689,0.365505,0.749947
0.69,0.36603,0.751087
0.691,0.366553,0.752225
0.692,0.367076,0.753361
0.693,0.367597,0.754497
0.694,0.368118,0.75563
0.695,0.368638,0.756763
0.696,0.369158,0.757893
0.697,0.369676,0.759023
0.698,0.370194,0.760151
0.699,0.370711,0.761278
0.7,0.371227,0.762403
0.701,0.371742,0.763526
0.702,0.372256,0.764649
0.703,0.37277,0.76577
0.704,0.373283,0.766889
0.705,0.373795,0.768008
0.706,0.374306,0.769124
0.707,0.374817,0.77024
0.708,0.375326,0.771353
0.709,0.375835,0.772466
0.71,0.376343,0.773577
0.711,0.376851,0.774687
0.712,0.377357,0.775795
0.713,0.377863,0.776902
0.714,0.378368,0.778008
0.715,0.378872,0.779112
0.716,0.379375,0.780215
0.717,0.379877,0.781316
0.718,0.380379,0.782416
0.719,0.38088,0.783514
0.72,0.38138,0.784612
0.721,0.381879,0.785707
0.722,0.382378,0.786802
0.723,0.382876,0.787895
0.724,0.383373,0.788987
0.725,0.383869,0.790077
0.726,0.384364,0.791166
0.727,0.384859,0.792253
0.728,0.385353,0.79334
0.729,0.385846,0.794424
0.73,0.386338,0.795508
0.731,0.38683,0.79659
0.732,0.387321,0.797671
0.733,0.387811,0.79875
0.734,0.3883,0.799828
0.735,0.388788,0.800904
0.736,0.389276,0.80198
0.737,0.389763,0.803054
0.738,0.390249,0.804126
0.739,0.390734,0.805197
0.74,0.391219,0.806267
0.741,0.391703,0.807335
0.742,0.392186,0.808403
0.743,0.392668,0.809468
0.744,0.393149,0.810533
0.745,0.39363,0.811596
0.746,0.39411,0.812658
0.747,0.394589,0.813718
